config,mean_val_excess,max_val_excess,hypo
H5_greeks_only,-2.008301866238414,-1.4451999050622888,H5
C_as1.0_vfNone_rl2100.0_cw3.0,-1.2989636652711603,-0.6422693463389813,combo
C_as1.0_vf0.25_rl20.0_cw3.0,-1.2833730880304701,-0.8078183063038722,combo
C_as0.5_vfNone_rl2100.0_cw3.0,-1.2205153170707745,-0.6434574360357379,combo
C_as0.5_vf0.25_rl20.0_cw3.0,-1.147431192841601,-0.7356971221799449,combo
H6_ensemble,-1.1468332382118824,-0.750175481913304,H6
C_as1.0_vf0.25_rl2100.0_cw3.0,-1.072202563638037,-0.6500091953293703,combo
H1_as1.5_vf0.25,-1.0557555158281404,-0.8648421448592334,H1
C_as1.0_vf0.25_rl20.0_cw1.0,-1.0356854063050869,-0.8024090466353724,combo
H1_as1.0_vf0.25,-1.0356854063050869,-0.8024090466353724,H1
H1_as1.0_vf0.1,-0.9803655704398996,-0.6879145190765996,H1
H1_as1.5_vf0.1,-0.9782128531905827,-0.7180323340461929,H1
C_as1.0_vf0.25_rl210.0_cw1.0,-0.9741409320898726,-0.9503673173104117,combo
C_as0.5_vf0.25_rl20.0_cw1.0,-0.9725693893262876,-0.7274916022209741,combo
H1_as0.5_vf0.25,-0.9725693893262876,-0.7274916022209741,H1
H1_as0.5_vf0.1,-0.9675293691889262,-0.6386919678504404,H1
C_as0.5_vf0.25_rl2100.0_cw3.0,-0.8762050608906324,-0.5871017710465805,combo
C_as1.0_vf0.25_rl210.0_cw3.0,-0.8555714575939237,-0.7066036715178212,combo
C_as0.5_vfNone_rl20.0_cw3.0,-0.8546582879754473,-0.1510131550594025,combo
H1_as1.0_vf0.5,-0.8511484484008897,-0.6086528456339897,H1
H7_stress2.0,-0.8376407609582341,-0.5980860402742341,H7
C_as0.5_vf0.25_rl210.0_cw3.0,-0.8359300833988073,-0.6502130234035723,combo
H1_as0.5_vf0.5,-0.8325164099594478,-0.5677673046331457,H1
H1_as1.5_vf0.5,-0.7995351246701813,-0.5440103950233461,H1
H4_rl210.0,-0.7715682162761688,-0.6414820577858897,H4
C_as0.5_vf0.25_rl210.0_cw1.0,-0.7329629804487849,-0.5124155345053962,combo
H2_cw3.0_a0.975,-0.7180171173094776,-0.011838659635660775,H2
C_as1.0_vfNone_rl20.0_cw3.0,-0.6959412212356474,-0.056176060698958086,combo
H2_cw10.0_a0.95,-0.6890513977652601,-0.018891337464829405,H2
H2_cw3.0_a0.95,-0.6499529609566909,0.006079191428962627,H2
H7_stress1.0,-0.6463420130135145,-0.41921366764605494,H7
H2_cw1.0_a0.99,-0.645117452405379,-0.008255566003524173,H2
H2_cw10.0_a0.975,-0.6187932518386348,-0.024283640336808965,H2
C_as1.0_vfNone_rl210.0_cw1.0,-0.5940100283956795,-0.48870506513586864,combo
H2_cw1.0_a0.975,-0.5889202044879265,0.024535724811336035,H2
H2_cw3.0_a0.99,-0.5650403475599668,-0.022586511780888774,H2
H3_K16,-0.5404018492337244,-0.18516666694352946,H3
C_as0.5_vfNone_rl20.0_cw1.0,-0.49502466927183053,-0.049791967003809834,combo
H1_as0.5_vfNone,-0.49502466927183053,-0.049791967003809834,H1
H2_cw10.0_a0.99,-0.46677161573534387,-0.02756029571874352,H2
H3_K12,-0.44027809950283503,0.33123532363445296,H3
C_as1.0_vfNone_rl210.0_cw3.0,-0.40145971890747933,-0.251359719621977,combo
C_as1.0_vfNone_rl2100.0_cw1.0,-0.3721164700993813,-0.24916868289243554,combo
C_as0.5_vfNone_rl210.0_cw1.0,-0.35873161777916796,-0.2034289247139105,combo
C_as1.0_vfNone_rl20.0_cw1.0,-0.349959135553489,0.10176737710224337,combo
H1_as1.0_vfNone,-0.349959135553489,0.10176737710224337,H1
C_as0.5_vfNone_rl210.0_cw3.0,-0.34796053910707947,-0.15921246802910893,combo
C_as0.5_vfNone_rl2100.0_cw1.0,-0.33690258314300636,-0.25931481140558965,combo
C_as0.5_vf0.25_rl2100.0_cw1.0,-0.3350676265472068,-0.250385671239727,combo
C_as1.0_vf0.25_rl2100.0_cw1.0,-0.322653420521253,-0.20445832180730372,combo
H1_l20.1,-0.30375693554885763,0.08072203818999624,H1
H1_l20.03,-0.2986223883648609,0.08089669738047611,H1
H1_l20.01,-0.2927737301568476,0.0809466773226184,H1
H1_as1.5_vfNone,-0.28155610914283,0.08096917986998697,H1
baseline,-0.28155610914283,0.08096917986998697,baseline
H4_rl2100.0,-0.26311675494383,-0.1105093261706589,H4
H3_K6,-0.2168106176145087,0.7018237912379548,H3
H4_rl21.0,-0.16984231779067427,0.07158614189954227,H4
H7_stress3.0,-0.07263003860658701,0.5662484862531114,H7
H4_rl21000.0,-0.05197440941321885,0.0016589594045419709,H4
H5_surface_only,0.7563108941612813,2.2534052733275822,H5
