universe,method,mean_pnl,median_pnl,std_pnl,var_95,cvar_95,cvar_99,worst,max_drawdown,utility
spy,delta,1.1570279370198422,1.3543919509088482,2.1582152147274054,2.940603352552987,4.7075712363179445,6.598159603633294,7.011027909297374,85.35172144030304,-3.550543299298102
spy,delta_vega,0.946433317952285,1.1102535825199438,1.4554668898659533,1.6624320365406793,2.8449349042314798,4.7467708767600145,5.9210895054023505,45.63649245551079,-1.8985015862791947
spy,blackbox,2.4652865620536972,3.761158234773303,6.511486112885499,10.213491926168702,13.19298494377633,16.568542046807003,17.12681770954015,300.08904871401194,-10.727698381722632
spy,prototype,0.8626609028978265,0.950683574029596,1.2978193183775657,1.2884833746088922,2.3826231781858898,4.396790302474464,5.237471685569832,17.698613166105332,-1.5199622752880633
spy,ppo,5.122136736024322,4.278783644831724,20.39820470502128,27.12332444143102,35.73928340634743,51.740178299328,56.14918581330096,338.5820781617656,-30.61714667032311
spy,sac,5.677544014813935,9.413040338634492,41.134843132170936,71.25698695133278,89.7331620077361,125.78444342664717,143.58040099004234,2638.7728054495124,-84.05561799292217
qqq,delta,0.43283557079494145,0.8377975434731978,3.006150204558704,5.320586973626111,9.02536255724072,12.619368056720715,14.243884447854944,189.88807597692085,-8.59252698644578
qqq,delta_vega,0.4355721164570579,0.8099203482135237,2.1108909002060035,2.7339253586080106,6.120349611883338,9.796277416278977,11.115000865687147,115.97501523013992,-5.68477749542628
qqq,blackbox,1.3486301274168735,0.8307944207074947,3.4376487635223927,3.6442439476586816,4.633150288642789,6.19116273825158,7.865202718680725,54.27603287880885,-3.284520161225916
qqq,prototype,0.4679926299533394,0.8057242798157729,2.8953466958230205,3.6037132235368254,9.060853308559416,13.955030007350715,15.355131350385031,108.39913145974668,-8.592860678606076
qqq,ppo,-1.2816904885158957,2.302629961720049,38.877310026662805,67.09308592671209,78.40537935186308,92.58270478934385,95.00328585730989,1501.3023785394598,-79.68706984037897
qqq,sac,7.064744526413249,5.589617208873456,35.98671226326087,46.7060872437577,57.1463967069538,74.18069013434634,77.23769210994182,647.252993501113,-50.08165218054055
