universe,seed,learning_rate,action_scale,val_cvar95,test_cvar95,test_mean
spy,7,0.0001,0.75,25.403834640503536,20.31320047948706,1.8586440414501497
spy,7,0.0001,1.5,51.834186159235784,37.283334708175566,2.891670618536783
spy,7,0.0001,2.5,90.66823550567916,59.25357890653886,4.268454540432105
spy,7,0.0003,0.75,18.938730288799615,21.92274954869479,2.7738575053313346
spy,7,0.0003,1.5,37.553814266989626,48.9369360503791,4.08499234368113
spy,7,0.0003,2.5,56.70001828948791,77.39332036437808,6.069212733499492
spy,7,0.001,0.75,39.050966124454845,32.85443382024194,2.759256715657785
spy,7,0.001,1.5,34.76921954570962,57.378937331752255,3.858880791172581
spy,7,0.001,2.5,50.897083293810525,107.65052996941431,7.337662234272269
spy,8,0.0001,0.75,19.128160682248414,25.90725740087255,3.1549992097308692
spy,8,0.0001,1.5,40.64306312930771,49.51515171542457,5.108612617156847
spy,8,0.0001,2.5,66.84331067181847,79.65845985988726,7.630228586925609
spy,8,0.0003,0.75,46.93415163907744,31.861295606642994,3.5585006253763702
spy,8,0.0003,1.5,77.99190803323738,59.65721505999397,6.441154092773888
spy,8,0.0003,2.5,125.99620435999765,96.69555441540678,9.49353518260751
spy,8,0.001,0.75,44.35386183223105,28.698877518911377,2.193799478244376
spy,8,0.001,1.5,96.81038549093167,54.395290460633916,4.7949395278443765
spy,8,0.001,2.5,225.18389731949802,77.53774292879719,4.992579987688675
spy,9,0.0001,0.75,38.72548642221196,25.195368020949907,3.137346229734288
spy,9,0.0001,1.5,76.73698122735362,47.748164728588264,5.273328919236454
spy,9,0.0001,2.5,126.67971787345694,78.1073781909531,8.203530300724628
spy,9,0.0003,0.75,47.02510533150715,25.456106196884466,3.25762214548691
spy,9,0.0003,1.5,84.73604841287772,41.18506408898291,4.936584640083252
spy,9,0.0003,2.5,145.41922515527847,72.49216170754624,8.071158735058427
spy,9,0.001,0.75,47.92627480423083,27.557205604059273,1.8823963273888251
spy,9,0.001,1.5,80.01409443357471,53.894132366923614,5.150239926298123
spy,9,0.001,2.5,144.89703609403497,96.27968428540397,4.97493868994356
