learning_rate,action_scale,val_cvar95_mean,val_cvar95_std,test_cvar95_mean,test_cvar95_std,test_cvar95_min,test_mean_mean
0.0001,0.75,27.75249391498797,10.00754437063737,23.805275300436506,3.04510041519873,20.31320047948706,2.7169964936384354
0.0003,0.75,37.632662419794734,16.18948399524304,26.413383784074085,5.03795193711603,21.92274954869479,3.1966600920648713
0.001,0.75,43.77703425363891,4.465682879683137,29.70350564773753,2.7878513144538353,27.557205604059277,2.278484173763662
0.0001,1.5,56.40474350529903,18.475936424369706,44.84888371739613,6.61125628085169,37.283334708175566,4.424537384976695
0.0003,1.5,66.76059023770158,25.51759548463749,49.92640506645199,9.275741322087546,41.18506408898291,5.154243692179423
0.001,1.5,70.53123315673867,32.089251494190904,55.222786719769935,1.8840193616007879,53.894132366923614,4.601353415105026
0.0001,2.5,94.7304213503182,30.12432442524417,72.33980565245975,11.35950973502673,59.25357890653886,6.700737809360781
0.0003,2.5,109.37181593492134,46.63745420372549,82.19367882911037,12.795844469403892,72.49216170754624,7.877968883721809
0.001,2.5,140.3260055691145,87.23327418967466,93.82265239453848,15.206010000093292,77.53774292879719,5.768393637301501
