test_year,delta,delta_vega,blackbox,prototype,prototype_capped,ppo,n_test,n_train
2014,0.7968634631993244,0.3758875019793812,1.4771007634062001,1.1888367371334614,1.1320285224662188,27.425707455179683,83,320
2015,2.2919978957314786,0.6386194187098162,8.691908188934297,2.420272309339401,1.7222976438152469,27.506282443941796,84,403
2016,0.9078400412023993,0.7104402628564113,0.00904912767094287,0.3510695080004944,0.0678155512869281,12.524374988413165,84,487
2017,1.5355276357415035,1.2790414434777628,0.8324748157742782,0.571286104550994,0.6992434186993716,17.207902905744692,83,571
2018,3.405758949230423,1.574676336067806,2.467912248281965,3.3418398028462164,1.2524095556531643,24.949278659213782,84,654
2019,2.110554216040377,0.5954990027134428,0.8069847444863821,-0.2639807231176471,-0.12732914249571464,29.39446432671923,83,738
2020,11.862741309787692,4.1218046195825435,64.57798306208417,59.98074683412896,17.959738086031287,81.6218757126592,83,821
2021,0.8403435479052852,0.19886763306455757,1.7056340504346772,0.591292227997357,-0.3020350818619844,23.176316092399283,84,904
2022,6.215345056557644,4.080507480141318,57.92763356530914,3.975081722373394,3.5460690304454507,63.25917992825434,85,988
2023,0.5800019178749669,0.18543822431163443,2.4875442746864835,0.9886145546427509,0.9939545525002346,43.47698644532417,73,1073
